Speaker,Utterance,Code FBS,Code systems
C,So if he is not there with his phone,Bs,1
C,"and I say, ""Google,",S,3
C," play me whatever music,""",Bs,3
C,"it can only get to what, you know, it goes out to",Bs,1
C, YouTube,S,3
C,"and does stuff,",Bs,3
C,because somehow it can do that without going through,Bs,1
C, his phone.,S,1
B,"Yes. And that is an argument for having some kind of central console,",S,3
B,not just what's hooked to your hardware,S,3
B,if you're hooking up a family system.,Be,1
B,"Because otherwise, you've got that problem.",Bs,1
B,If somebody took their device with them.,S,1
A,"Okay. So the use case is, do we want an integrated console? Are we just kind of--?",S,3
B,"I think we're going in that way, yeah.",Bs,3
A,Okay. [writing on the board] I/we want an integrated console--,D,0
A,"Yeah, that's right. That centralizes entertainment options and personal data,",Bs,1
A,"I want to say, like, requests and actions, like commands.",S,3
B,"For multiple people, right. That's, like, a--",Be,1
A,"Okay, good. For multiple users.",Bs,1
B,So you're going to have to have a way of differentiating users.,Be,2
A,Okay. And it's really for the home.,S,1
A,[writing on the board] Okay. All right.,D,0
A,"So I would be inclined to say, like, this is what we think the console",S,3
A,"looks like,",Bs,3
A,only because the user interface,S,2
A,"turns out to be, I think, pretty significant,",Bs,2
A,[writing on the board],D,0
B,"I have in my--like, it's sort of, like, it's influenced",Bs,1
B,by Alexa or whatnot that's an object,S,1
B,"that's not necessarily like a big screen, right,",S,3
B,but you could enter the data and whatnot,Bs,3
B,"from either from your computer,",S,1
B,but that the central console,S,1
B,"isn't a big screen, right.",S,3
A,Okay. [writing on the board],D,0
B,It's something with some [unintelligible] maybe that you want in your house.,S,1
C,That you don't mind if people see.,Bs,1
A,Import music.,Bs,3
B,Stream from a device.,Bs,3
A,[writing on the board],D,0
C,So we have our box or whatever.,S,1
C,We need--what are our interfaces to everything?,S,2
C,"Is it all Bluetooth or all some sort of wireless, right?",F,3
B,"That's definitely not on my resume. But that, I guess, was leading to my question,is internet of things leaning",S,3
B,on Bluetooth?,S,3
B,And Bluetooth,S,3
B,"is getting stronger, so you can--it's not as limited by space as it used to be.",Bs,3
B,"Although walls,",S,3
B,"if you have a multistory house,",S,3
B,"and you're doing everything by Bluetooth,",S,3
B,you're going to need multiple repeaters or something.,S,3
B,We just know it's going to be wireless.,Be,3
C,"Who knows, in 2025, what is available?",R,0
A,"What new protocols could come out, yeah.",Be,3
B,Okay. So we just know that we want it wireless and--,Be,3
A,And it's just weirdly shaped.,Bs,1
B,We have a central console,S,3
B,and maybe repeaters.,S,3
A,Okay. [writing on the board],D,0
B,"Yes, play music,",Bs,3
B,play TV.,Bs,3
A,"Let's see. So this is, like, that's the source.",S,1
A,"So you could have, like, a middleman here if needed.",S,1
A,"Like, if I wanted to play music at work,",Be,2
A,"I should be able to say, you know, stream",Be,2
A,from my home computer.,S,1
A,"Let's see, how does that work?",Be,1
A,"If I can access it,",Be,1
A,like my little sprinkler device,S,1
A,has a MAC address.,S,1
A,now what the security protocol,S,3
A,"is for the app,",S,3
A,"you know, do I have to log in, I probably had to create a login ID,",F,3
B,"So, but we want to do more than just play, or do we? Is that play, you know--",Be,2
B,"is there any kind of control with personal preferences or,",Be,3
B,"you know, pop-up reminders",S,3
B,on your TV,S,3
B,that you have an appointment that you're about to be late for?,Bs,3
B,"So, does it just integrate with, say, ""Play Hulu,"" or is it, ""Play Johnny's favorite Hulu show?""",Be,3
C,Yeah. And it's even more than that.,Bs,1
C,It's the whole setup thing.,S,1
B,"So you have all this, like, feedback",F,3
B,from devices,S,3
B,that you are going to try to figure out preferences.,Bs,3
C,"And you'd still have to say, ""And play it on TV number one or the family room TV,"" you know what I mean?",Bs,3
B,This is the thing that we could set up.,Be,1
A,That's pretty good. That's pretty good.,Bs,1
A,[writing on the board],D,0
C,"But once you set it up, it'll be awesome, which--",Bs,1
A,"That's right, so there's a switch box.",S,3
C,So the biggest thing we have to figure out is the interface,S,2
C,"for setting things up,",Bs,2
C,"because currently, all of this exists pretty much that you could talk",Bs,2
C,to something,S,1
C,and tell it to do this and do that and different things.,Bs,1
C,They're all separate apps.,S,3
C,So it's figuring out how to get that all in one place.,Bs,1
C,"And is that more than just saying, ""Well, why can't I just, you know?"" Lots of things I need to just do",Be,1
C,on my phone right now.,S,1
C,I've downloaded the app,S,3
C,"to do this, and now I can do it, and I download the app.",Bs,3
A,[writing on the board],D,0
A,So maybe your phone,S,3
A,is another input.,S,3
A,So if your phone,S,3
A,"already knows things,",Bs,3
A,it can talk to this central.,S,1
A,"Now, we don't know what it is. It's a bot. It's a bot.",S,1
A,It might be a console.,S,1
A,It might take the form of a console.,Be,1
A,Maybe you could have it in any form you want.,Be,1
A,"Maybe it lives on your computer,",S,1
A,maybe it lives on some other box.,S,1
A,"Maybe you can access it right there from the kitchen counter, which is what I would like to do, you know.",Be,1
A,I would like a screen,S,3
A,big enough,Be,3
A,that I can scroll through,Be,3
A,"and say, well, no, I want to talk to it.",Be,3
A,"I want to be able to say like, ""Let me look at my music library,"" and choose.",Be,3
B,But you also want to see just suggest something.,Be,3
A,Yes. Okay. [writing on the board],D,0
B,"But for detailed design, so we are talking about like a machine learning operating centralized",F,1
B,that's trying to determine your taste from information it's receiving,Be,1
B,from multiple devices.,S,3
B,"Your TV,",S,3
B,your music.,S,2
A,Yes. Here's my PC.,S,1
A,This is phone.,S,1
A,"These are innies,",S,3
A,these are outies.,S,3
A,"This device is, like, my high-end Bose speakers.",F,1
A,This is the TV. This is the--,S,3
C,"Thermostat, I mean, you have all that, the thermostat,",F,3
C,the vacuum cleaner.,S,3
A,"Right, vacuum. What else we got here? The drone, the dusting drone.",S,3
A,"And then, inside of here are relationships between the innies and the outies, I guess.",Bs,3
C,"You know, like, if you come home early and you're in the kitchen,",Be,3
C,maybe you don't want the vacuum,S,3
C,to start because you're making dinner.,Bs,3
A,"How much do you want it to know? It does learn, but--",Be,1
B,"I guess that's a good question, how much do you want to program everything and how much do you want it to learn?",Be,1
A,"So, like, my little sprinkler controller,",S,3
A,"it senses the rain if I have sensors out there, which I don't,",Bs,1
A,"but it seems to think it knows things anyway, and sometimes I think it just makes things up.",Bs,1
A,But it can get the weather forecast from my area because it knows where I live.,Bs,1
A,So this is the Interweb.,F,1
A,It learns from the Interweb.,Bs,1
A,It does things.,Bs,1
A,This is my sprinkler system.,S,1
C,"Yeah. ""It's raining, don't forget your umbrella,"" or ""It's going to rain today, don't forget your umbrella.""",Bs,1
B,Yeah. But the detail is just that we want an interface,S,2
B,"that people would connect to, right,",Bs,2
B,because it's an infinite that you can add on to.,Bs,2
A,"These are the innies,",S,3
A,these are the outies.,S,3
A,It's really that simple. And there's relationships that are complex inside of here.,Bs,3
B,"Well, now, we focus on this bot.",S,1
B,"We don't need to interface with all this,",Bs,2
B,"but it also needs, if we're going to be talking to it,",Be,2
B,it needs microphone,S,3
B,and speaker.,S,3
A,"What's interesting is all this lives, all this exists.",Bs,3
A,"All we have to do is figure out how to--what this looks like inside, its innards,",Be,1
A,and then how to tie it,Be,1
A,"to a dust drone,",S,3
A,"how to allow a manufacturer to, you know, participate in the system. Okay, so.",Be,1
B,Right. We do need some physicality to it.,Be,1
B,If we're going to talk to it,Be,1
B, and it's going to talk to us.,Bs,1
A,[writing on the board],D,0
A,Okay. So here's the bot,S,1
A,and here's the dust drone.,S,3
C,There's an interface,S,2
C,"to the bot,",S,1
C,"and it will be something, right. It could be Bluetooth,",S,3
C,but it'll be something that everything can interface that way.,Be,2
A,So that's the key.,Bs,2
A,So we have to have like an instance of that,S,2
A,so that we can start to visualize this is how it would interface,Be,2
A,"with the dust drone, should one exists.",S,3
A,"And the dust drone is good because it doesn't exist,",Bs,3
A,"and we have to go, you know, what would that look like?",Be,3
A,How is that the same as something that does exist? How is it different? I don't know.,Be,3
A,[writing on the board],D,0
A,"But if we're going to take the bot first,",S,1
A,so what do we want to say about that? What's the innards?,S,3
B,"Is that speakers,",S,3
B,"microphone,",S,3
B,"and your Bluetooth receiver,",S,3
B,transmitter?,S,3
B,"Probably, you're still going to want your Wi-Fi.",S,3
A,[writing on the board],D,0
A,Bluetooth.,S,3
A,Wi-Fi. Rx/Tx.,S,3
B,"Doesn't this all communicate with Bluetooth,",Be,3
B,"but you might, if your initial programming is doing a lot,",Bs,3
B,you might want to do Wi-Fi,S,3
B,because you have a bigger bandwidth.,Bs,3
B,"So I think that seems-- And then the internal, right, you're going to have a pretty decent sized",Bs,3
B,central processing unit.,S,3
A,Right. So we don't need to choose.,Bs,3
B,"But we don't need graphics, right. I'm thinking we don't need to have a--",Bs,3
A,"A console,",S,3
A,a monitor?,S,3
B,I think you could connect through it with,Be,1
B,your Wi-Fi.,S,3
C,"Unless we want it to discover things,",Be,1
C,"and then it would just show it on the monitor,",S,3
C,"""I see this. I see this. I see this.""",Be,3
A,"I don't know how you don't need one, because otherwise--",Bs,3
B,Does Alexa have one?,S,1
C,If we're doing everything voice command.,Bs,1
C,But if you had a monitor,S,3
C,and then you could somehow tell it to find--,Be,1
B,Or you can have maybe an external monitor,S,3
B,that you can keep in the drawer,S,3
B,when you don't-- You don't have to require to have a--,Bs,3
C,"Right. Once you get it all set up, but at setup time,",Bs,1
C,a monitor,S,3
C,"would be nice for that type of practical stuff, for it to say, ""Okay, over Wi-Fi or Bluetooth, I have discovered this that has a programming that will work with this. I've discovered this and I've discovered that.""",Bs,1
C,And if you have that smarts,Be,1
C,in your TV,S,3
C,"and in your dust drone and in your whatever,",S,3
C,then that's where I would think a monitor,S,3
C,"would be very useful,",Bs,3
C,even if you're using voice command.,Bs,2
A,[writing on the board],D,0
C,Because you might--when you were telling it,S,1
C,"to do stuff,",Bs,1
C,you might not want to have to be right in front of it looking at things.,Bs,1
C,"But once you have it set up, because you can just say, ""Turn on the TV,"" or whatever.",Bs,1
A,That's true. Right. And maybe I don't know if my dust drone,S,3
A,is compatible with it.,Bs,1
A,So it would be nice to kind of see.,Bs,1
A,"And I think this already exists, a lot of this.",Bs,3
A,"You know, I don't have a smart house,",S,3
A,"but they're advertising this stuff all over the place. So a lot of what we're talking about, I think, is already out there.",Bs,2
C,"Yeah, the majority of it will be having everything common enough",Be,1
C,in all of the smart things,S,1
C,that can then talk to it.,Bs,1
B,Yes. What I think we were trying to differentiate yourself would be that this unit itself,S,1
B,will do differentiate between who's talking to it in terms of preferences in taste.,Be,1
B,It'll do preferences in taste versus just relying on all these individual things.,Be,1
A,[writing on the board],D,0
B,"And it's a centralized way that you could maybe also control when the vacuum--like, ""Oh, I set the cat feeder and vacuum cleaner to go off at the same time."" But it causes anxiety in the cat, so.",F,1
C,So we're going to have to change that.,Bs,1
B,"So, like, if it's a central, ",Be,1
B,"it could see things,",Bs,1
B,like a centralized control,S,1
B,of all these things.,S,1
B,But I don't think you'd have a competitive product,Bs,1
B,if you try to give us everything when we have all these other piecemeal that we've probably purchased already.,Bs,1
B,"Then, in five years, like,",R,1
B, throw all that away,Bs,1
B,and buy this really expensive,Bs,1
B,that has everything. I don't think.,Bs,1
C,"So I think the main thing is, like, the discovery and the differentiating between users.",Be,1
A,"Okay. So we need a detailed design on something. So we have to, like, somehow, this is probably part of their research study, like.",R,1
C,"""We know there's going to be an interface,",S,2
C,"we don't know for sure what it is yet, but these are the things that we need to define is how discovery of all these things can be done,",Be,2
C,"and the other thing is the users and preference,",Be,2
C,like it's voice recognition,Be,3
C,"and stuff like that."" Because you can tell it.",Be,3
A,[writing on the board],D,0
B,Tracking individual users whether or not,Bs,3
B,you like that idea in your house.,S,3
B,"Like, I think that would be a key differentiator",Bs,3
B,"is you have one unit,",S,1
B,but it's tracking different users.,Bs,2
C,And you set up things.,Bs,3
C,"You can already set up parental controls on stuff for kids,",F,3
C,"but the difference here, would this be able to understand that a kid is saying, ""Hey, turn on this, you know. Turn such and such channel on on the TV,"" ",Be,3
C,"and it'll say, ""No, you're not authorized to watch that,"" type of thing.",Be,3
C,The recognition and the preference.,Be,3
A,But we're on permissions.,Be,3
A,[writing on the board],D,0
A,"Permissions, authorizations.",Be,3
A,So I still think we're supposed to get specific on [reading documents] develop one of those concepts into a detailed design.,R,1
A,And present sketches and a verbal description of your solution.,R,1
C,"But the sketch would be, yeah, it's a box",S,1
C,"with all those things, speaker,",S,3
C,"microphone,",S,3
C,"Bluetooth,",S,3
C,"Wi-Fi,",S,3
C,Rx/Tx.,S,3
A,"Okay, that's good.",Bs,3
C,It has to have a CPU.,S,3
A,Okay. [writing on the board],D,0
B,And then an interface.,S,2
A,"Memory, tons of memory.",S,3
B,"So you're going to have to have something with a visual screen, whether it's (???) to it or not.",S,3
C,"Oh, yeah, some sort of monitor.",S,3
A,Okay. All right. So there's like an all-in-one kind of a device,S,3
A,with a motherboard,S,3
A,that has all of these devices on it,S,3
A,and solid-state drive.,S,3
A,And then it has to have a microphone.,S,3
B,That's the physical hardware that we need.,S,3
A,Yeah. And this is the bot. This is really the bot.,S,1
A,"Now, as far as software goes, see, this is the easy part. Now, the software, you know,",S,3
A,so what does that look like?,Be,1
A,It's voice recognition.,Bs,1
A,It's all of this.,Bs,1
A,So let's draw a diagram [writing on the board] that connects all of those things together.,D,0
A,"So source of command, so that's the voice recognition.",Bs,1
A,"So that's, like, user recognition.",Bs,1
A,User preference.,Bs,1
B,"I think what source we were saying also, command",Bs,1
B,"though can be coming from, not necessarily just voice, right.",Bs,1
B,Can you control it with something else?,Be,1
A,"Oh. So, yeah, it's user recognition, however that's done.",Bs,1
A,So whether it sees you,Bs,1
A,or you scan your fingerprint,Bs,1
A,or it recognizes your voice.,Bs,1
A,Permissions and authorizations. These are the same. Okay.,Bs,2
A,[writing on the board],D,0
A,"So, do we have a central authority here?",F,1
A,Is there like a system controller?,S,2
A,You know. There's not a state machine of any sort.,Bs,1
C,"Well, there will need to be when--because that's one thing too. You could have so many things connected.",Be,2
C,"Is there a limit to how many things it can be doing at once, you know what I mean?",Be,1
C,"Like, you're watching TV,",S,3
C,it still has to be able to turn on,Be,3
C,the vacuum,S,3
C,and have it be going at the same time.,Be,3
C,"Not that it's really using it, once it gets it turned on, it's just a--",Bs,1
A,This is the UI here.,S,2
C,I guess none of it is.,Bs,1
C,"Because once you command it or even if you say, ""Stream this video on such and such a TV,"" after it's going,",Bs,1
C,"it doesn't necessarily need to be going through our bot after that, right?",S,1
C,"I guess, maybe it knows that it is because you might want to say, ""Pause it,"" or whatever, but maybe you're just off/on.",Bs,1
A,So we decided this user interface,S,2
A,"might be a console,",S,3
A,[writing on the board],D,0
A,"but there were all those other things that we had over, in the other side of this board, which is how this thing takes inputs.",Be,1
A,So that's like family members and I want to say console.,S,3
A,"And this was the PC,",S,3
A,and this is the phone.,S,3
C,Things. Family members is using one of those things.,Bs,3
B,I think those would all just go under sort of like a source of command user.,S,3
B,"Like, so the system controller,",S,1
